id,cleaning_fee,price,bedrooms,beds,bathrooms,personCapacity,reviewsCount,isSuperhost,avgRating,lat,lng
44354470,8,16,1.0,2.0,1.0,4,0,False,,4.62626,-74.0702
44447748,8,16,1.0,1.0,1.0,2,0,False,,4.62767,-74.07154
44339851,8,16,1.0,1.0,1.0,2,0,False,,4.62733,-74.0712
31362916,8,15,1.0,1.0,1.0,2,1,False,,4.64009,-74.06786
44234898,0,8,3.0,6.0,2.0,6,0,False,,4.76909,-74.02636
35462605,15,14,1.0,1.0,1.0,3,4,False,4.25,4.66949,-74.06409
41590861,0,11,0.0,1.0,0.0,2,0,False,,4.64498,-74.07259
42249412,5,12,1.0,1.0,1.0,2,3,False,4.67,4.71606,-74.067
41455298,12,15,1.0,1.0,1.0,4,2,False,,4.63934,-74.07268
38581169,13,15,1.0,1.0,1.0,3,5,True,5.0,4.66755,-74.07523
33912593,7,11,1.0,1.0,1.0,2,1,False,,4.58096,-74.04656
42034742,0,11,1.0,1.0,1.0,1,0,False,,4.69769,-74.10951
42793014,9,11,1.0,1.0,1.0,2,0,True,,4.75807,-74.10089
23615074,0,10,1.0,1.0,1.0,1,5,False,4.4,4.59617,-74.07003
35462605,15,14,1.0,1.0,1.0,3,4,False,4.25,4.66949,-74.06409
31447062,0,16,1.0,2.0,2.0,2,0,False,,4.67744,-74.09439
5037107,5,15,1.0,2.0,1.0,3,6,False,4.67,4.65828,-74.00327
19845048,13,16,1.0,1.0,1.0,2,54,True,4.8,4.63212,-74.06836
28274015,4,15,1.0,1.0,1.5,2,23,False,4.39,4.64737,-74.06488
42249412,5,12,1.0,1.0,1.0,2,3,False,4.67,4.71606,-74.067
42388773,0,10,2.0,5.0,1.0,7,0,False,,4.58995,-74.14741
27806818,0,15,1.0,2.0,1.0,3,0,False,,4.57202,-74.11853
42863045,13,15,1.0,1.0,1.0,2,0,True,,4.64212,-74.06347
23469147,10,13,1.0,1.0,1.0,2,4,False,4.75,4.56429,-74.10285
31282880,9,11,1.0,2.0,1.0,3,7,False,4.57,4.59062,-74.0713
20270768,12,15,1.0,2.0,1.0,3,1,True,,4.6581,-74.12802
38161960,8,11,1.0,1.0,1.5,1,5,False,4.2,4.59261,-74.07397
36647082,0,15,1.0,1.0,1.0,1,1,False,,4.58317,-74.15547
